topic,unique_questions,total_occurrences
[P.T.O.],40,40
DATA ANALYTICS,34,34
ARTIFICIAL INTELLIGENCE,24,24
COMPUTER NETWORKS,22,22
Q.4.,20,20
Section B,10,16
Section C Section,8,16
"EVEN SEMESTER EXAMINATION, 2023 – 24",15,15
TCS-604 // 2000,12,14
TCS-402/1960/4,14,14
TCS-601/1970/4,12,14
ANALYSIS OF ALGORITHMS,13,13
COMPUTER NETWORK,13,13
GRAPHICS,13,13
CONSTITUTION OF INDIA,6,12
Q5.,12,12
PTO,12,12
COMPUTER GRAPHICS,12,12
03 [P.T.O.],6,12
(C),10,11
DS-1077],11,11
CST021_005 |,11,11
TCS-605/000/3 1980,11,11
DATABASE MANAGEMENT SYSTEM,10,10
ST021_005 | 103.170.7,9,10
TCS-503/1680,10,10
203-30T,10,10
Section E,5,10
Q1.,9,9
Q4.,9,9
DS-1079],9,9
Q2.,8,8
(F),8,8
(4X5=20),8,8
BCST-602,8,8
UNIT-V,8,8
TCS-601,7,7
DESIGN & ANALYSIS OF ALGORITHM,7,7
SECTION-1,6,6
P.T.O.,3,6
NETWORKS,6,6
UNIT-I,6,6
UNIT-II,6,6
SECTION-E,5,5
Section A,2,5
M03-29T,5,5
10X 2,5,5
SECTION-3,4,4
GRAPH THEORY,4,4
DOAG),4,4
DS-99721,4,4
UNIT-IV,4,4
WAN,4,4
OLI OTOD OS => [,4,4
SECTION-C,4,4
10X2=20,4,4
OPERATING SYSTEM,4,4
TCS-603/2000/4,4,4
Section D,2,3
OM HOR,3,3
UNIT - I,3,3
TCS-603/1800,3,3
ΑΠΟ ΠΟ,3,3
T -> T*FIF,3,3
(B),3,3
APPLE,3,3
0=4X2,3,3
BCST-603,3,3
B.TECH. (CSE) (SEMESTER-V),1,3
TCS-603,2,2
TCS-501,2,2
TCS-501/1600,2,2
DS-9972],2,2
BCST-604A,2,2
COMPILER DESIGN,2,2
(OS-SX0),2,2
-X-,2,2
",C(60,40), D(20,40).",2,2
(E),2,2
NOTE:,2,2
SECTION-4,2,2
SECTION-5,2,2
Q3.,2,2
UNIT - IV,2,2
UNIT - V,2,2
S🡪AA,2,2
A B C D,1,1
5X4=20,1,1
I = S9,1,1
E-1 0 7 8-N,1,1
DS-1078-N],1,1
DAS,1,1
B.TECH. (SEMESTER-VI),1,1
B.TECH. (SEMESTER-V),1,1
B.TECH (CSE) (SEMESTER-V),1,1
(D),1,1
(OS=S-ON),1,1
(X+Y) * (Y+Z) + (X+Y+Z),1,1
10X2,1,1
12. (A) (B),1,1
5X4-20,1,1
5 X 4,1,1
P.T.O,1,1
P100050-20T,1,1
Section C,1,1
SECTION-B,1,1
SECTION-2,1,1
OSI?,1,1
"P2(28,22).",1,1
TCS 604,1,1
TCS-501/2120,1,1
TCS-502,1,1
TCS-602,1,1
TCS-503/2280,1,1
TCS-503,1,1
TCS 603,1,1
TCS-402,1,1
TOTE 2. ISDN,1,1
UNIX AND SHELL PROGRAMMING,1,1
X3+1?,1,1
